numTopFeatures,regParam,maxIter,p,f1_train,f1_val,runtime_training,runtime_train_pred,runtime_train_val,runtime_train_eval
10,0.01,10,1,0.8727422906218616,0.6018395632466248,90,4,3,11
10,0.01,10,2,0.8727422906218616,0.6018395632466248,72,4,3,10
10,0.01,100,1,0.9381193412993383,0.6061716692183722,551,3,3,11
10,0.01,100,2,0.9381834913459517,0.6063353889813718,562,3,3,11
10,0.1,10,1,0.8711118042568785,0.5934608328082426,74,3,3,11
10,0.1,10,2,0.8711118042568785,0.5934608328082426,77,4,3,11
10,0.1,100,1,0.9083074205531612,0.603100451038529,588,3,3,12
10,0.1,100,2,0.9083074205531612,0.603100451038529,585,3,3,12
10,1,10,1,0.7822063948449486,0.5347587746612902,73,3,3,10
10,1,10,2,0.7822063948449486,0.5347587746612902,76,3,3,10
10,1,100,1,0.8507325685290341,0.5779154221258229,582,3,3,10
10,1,100,2,0.8507325685290341,0.5779154221258229,584,3,3,12
2000,0.01,10,1,0.8727422906218616,0.6018395632466248,77,3,3,11
2000,0.01,10,2,0.8727422906218616,0.6018395632466248,73,3,3,11
2000,0.01,100,1,0.9381234921071601,0.6064889560494722,583,3,3,11
2000,0.01,100,2,0.9381832813471934,0.6061814989935017,581,3,3,11
2000,0.1,10,1,0.8711118042568785,0.5934608328082426,73,3,3,10
2000,0.1,10,2,0.8711118042568785,0.5934608328082426,73,3,3,9
2000,0.1,100,1,0.9083074205531612,0.603100451038529,585,3,3,13
2000,0.1,100,2,0.9083074205531612,0.603100451038529,588,3,3,10
2000,1,10,1,0.7822063948449486,0.5347587746612902,76,3,3,12
2000,1,10,2,0.7822063948449486,0.5347587746612902,72,3,3,10
2000,1,100,1,0.8507097572064141,0.5778875273616735,582,4,4,11
2000,1,100,2,0.8507097572064141,0.5778875273616735,567,4,3,11
